,userid
0,sco
1,sco
2,sco
3,sco
4,sco
5,sco
6,sco
7,sco
8,sco
9,sco
10,sco
11,sco
12,sco
13,sco
14,sco
15,sco
16,sco
17,sco
18,sco
19,sco
20,sco
21,sco
22,sco
23,sco
24,sco
25,sco
26,sco
27,sco
28,sco
29,sco
30,sco
31,sco
32,sco
33,sco
34,sco
35,sco
36,sco
37,sco
38,sco
39,sco
40,sco
41,sco
42,sco
43,sco
44,sco
45,sco
46,sco
47,sco
48,sco
49,sco
50,sco
51,sco
52,sco
53,sco
54,sco
55,sco
56,sco
57,sco
58,sco
59,sco
60,sco
61,sco
62,sco
63,sco
64,sco
65,sco
66,sco
67,sco
68,sco
69,sco
70,sco
71,sco
72,sco
73,sco
74,sco
75,sco
76,sco
77,sco
78,sco
79,sco
80,sco
81,sco
82,sco
83,sco
84,sco
85,sco
86,sco
87,sco
88,sco
89,sco
90,sco
91,sco
92,sco
93,sco
94,sco
95,sco
96,sco
97,sco
98,sco
99,sco
100,sco
101,sco
102,sco
103,sco
104,sco
105,sco
106,sco
107,sco
108,sco
109,sco
110,sco
111,sco
112,sco
113,sco
114,sco
115,sco
116,sco
117,sco
118,sco
119,sco
120,sco
121,sco
122,sco
123,sco
124,sco
125,sco
126,sco
127,sco
128,sco
129,sco
130,sco
131,sco
132,sco
133,sco
134,sco
135,sco
136,sco
137,sco
138,sco
139,sco
140,sco
141,sco
142,sco
143,sco
144,sco
145,sco
146,sco
147,sco
148,sco
149,sco
150,sco
151,sco
152,sco
153,sco
154,sco
155,sco
156,sco
157,sco
158,sco
159,sco
160,sco
161,sco
162,sco
163,sco
164,sco
165,sco
166,sco
167,sco
168,sco
169,sco
170,sco
171,sco
172,sco
173,sco
174,sco
175,sco
176,sco
177,sco
178,sco
179,sco
180,sco
181,sco
182,sco
183,sco
184,sco
185,sco
186,sco
187,sco
188,sco
189,sco
190,sco
191,sco
192,sco
193,sco
194,sco
195,sco
196,sco
197,sco
198,sco
199,sco
200,sco
201,sco
202,sco
203,sco
204,sco
205,sco
206,sco
207,sco
208,sco
209,sco
210,sco
211,sco
212,sco
213,sco
214,sco
215,sco
216,sco
217,sco
218,sco
219,sco
220,sco
221,sco
222,sco
223,sco
224,sco
225,sco
226,sco
227,sco
